What does CPU stand for?,Central Processing Unit,Computer Processing Unit,Central Processor Unit,Computer Processor Unit,Central Processing Unit
Which programming language is known for its readability and simplicity?,Java,C++,Python,JavaScript,Python
What is the binary equivalent of the decimal number 25?,11001,10011,11101,10101,11001
Which data structure follows the Last In, First Out (LIFO) principle?,Queue,Stack,Linked List,Array,Stack
What does HTML stand for?,Hypertext Markup Language,Hyper Transfer Markup Language,High-Level Text Markup Language,Home Tool Markup Language,Hypertext Markup Language
Which protocol is used for secure communication over the internet?,HTTP,FTP,SMTP,HTTPS,HTTPS
In binary code, what does the combination '1010' represent?,8,10,12,14,10
Which sorting algorithm has an average and worst-case time complexity of O(n log n)?,Bubble Sort,Insertion Sort,Quick Sort,Selection Sort,Quick Sort
What does DNS stand for?,Dynamic Name System,Domain Name System,Data Network Server,Digital Naming Service,Domain Name System
What is the purpose of the 'if' statement in programming?,Loop execution,Function definition,Conditional execution,Variable declaration,Conditional execution
